Gene,p_value,fold_change
220115_s_at,1.0873592713179883e-14,1327.718837209302
201029_s_at,2.294243275327359e-05,1325.0606976744189
221619_s_at,6.134151517564532e-10,1323.106279069766
202907_s_at,7.886888457262892e-09,1320.828372093024
210982_s_at,2.2197176239264177e-05,1320.5421860465115
210946_at,1.2511097908580424e-05,1319.668813953489
211968_s_at,2.5679459548355e-10,1319.1140465116273
204812_at,1.319316274983096e-10,1318.5102325581383
219542_at,2.8044533958031105e-14,1317.4241860465117
200740_s_at,2.0532894580096183e-09,1317.3200000000002
209296_at,6.198261721097243e-10,1315.5588604651175
201071_x_at,3.4350352045187577e-06,1315.460488372093
211662_s_at,7.691101930417292e-08,1312.5726744186045
212573_at,2.102183711362341e-14,1312.347302325581
202037_s_at,6.39945030586952e-06,1312.316744186047
214150_x_at,1.619341411530438e-05,1312.2094186046515
217779_s_at,5.976857460336799e-07,1311.7695348837215
211749_s_at,6.843054063888039e-12,1310.9634651162792
38707_r_at,3.7627030467412316e-05,1310.8183720930242
200669_s_at,1.0991305228142712e-18,1308.3476511627907
221671_x_at,0.0007753699851973514,1307.638372093023
209223_at,1.2180527957085572e-11,1306.4855813953482
209140_x_at,2.6969049429593634e-06,1306.4492325581396
200081_s_at,0.000987079206817819,1306.0490930232559
200978_at,7.796592612597966e-05,1305.7785116279067
201103_x_at,1.4633776832893247e-06,1302.9314186046504
211699_x_at,0.0010423084595372928,1302.676976744186
209695_at,4.148380186523648e-16,1302.4963953488373
211911_x_at,8.381387887771032e-11,1302.1989999999996
219549_s_at,1.8346930839969588e-05,1299.2671860465116
200642_at,4.601464948717426e-07,1297.5114418604644
208073_x_at,3.7026221343781816e-07,1296.5854186046517
203221_at,3.623021293338807e-08,1296.203023255814
212195_at,0.00023649104770258022,1294.1727441860453
211950_at,4.3813835338611107e-11,1293.8151162790696
217848_s_at,1.6113936688652243e-05,1293.6805348837206
214022_s_at,2.9773272458631785e-05,1292.698372093022
